GROUP_SET,PLAYER_ID,PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
Players,1627936,Alex Caruso,64,48,16,0.75,1175.275,120,291,0.412,40,120,0.333,69,94,0.734,17,106,123,124,53,70,18,24,98,106,349,246,893.6,0,0,6,6,14,6,8,10,9,15,8,8,10,6,6,10,10,8,9,4,9,4,7,18,12,5,9,3,9,7,2
Players,203076,Anthony Davis,62,46,16,0.742,2131.193333333333,551,1096,0.503,72,218,0.33,444,525,0.846,142,435,577,200,154,91,143,41,156,406,1618,240,3158.4,29,0,7,7,14,10,2,2,2,4,5,5,12,1,1,4,2,2,1,3,2,1,1,19,18,1,2,4,2,2,2
Players,202340,Avery Bradley,49,36,13,0.735,1186.465,170,383,0.444,63,173,0.364,20,24,0.833,18,97,115,63,47,43,5,23,110,27,423,183,752.5,0,0,9,10,10,12,7,8,6,9,6,6,7,10,10,5,9,10,10,8,10,6,10,17,13,10,8,5,10,7,2
Players,201980,Danny Green,68,51,17,0.75,1686.72,197,474,0.416,120,327,0.367,33,48,0.688,51,174,225,91,63,85,32,7,136,62,547,256,1241.5,0,0,3,2,16,6,4,6,5,14,2,2,5,8,8,12,6,6,6,6,6,2,5,10,17,8,5,2,6,7,2
Players,1629719,Devontae Cacok,1,0,1,0.0,8.866666666666667,3,6,0.5,0,0,0.0,0,0,0.0,2,3,5,1,0,0,0,0,0,0,6,5,13.5,0,0,20,20,2,20,19,18,18,5,18,18,18,19,19,19,15,18,17,19,19,18,17,1,1,19,19,15,18,7,2
Players,203079,Dion Waiters,7,3,4,0.429,165.38333333333333,31,73,0.425,7,30,0.233,14,16,0.875,2,11,13,17,13,4,4,3,16,12,83,17,135.1,0,0,15,15,4,17,15,13,13,12,13,13,16,11,11,3,15,15,15,13,12,16,11,8,6,12,13,13,15,7,2
Players,2730,Dwight Howard,69,52,17,0.754,1305.7133333333334,202,277,0.729,3,5,0.6,110,214,0.514,172,335,507,45,84,31,79,14,222,207,517,162,1438.9,9,0,1,1,16,5,6,5,10,2,15,17,1,4,3,16,1,3,3,10,5,9,3,12,20,3,6,7,3,3,2
Players,2747,JR Smith,6,2,4,0.333,78.90333333333334,7,22,0.318,1,11,0.091,2,2,1.0,0,5,5,3,4,1,0,0,5,3,17,-35,26.5,0,0,16,17,4,18,17,17,17,19,17,15,17,15,16,1,19,16,17,17,17,17,17,1,4,16,17,20,17,7,2
Players,201580,JaVale McGee,68,51,17,0.75,1130.0916666666667,195,306,0.637,3,6,0.5,53,82,0.646,125,265,390,37,55,36,94,19,159,87,446,131,1304.5,2,0,3,2,16,6,9,7,8,3,15,16,2,7,7,14,3,4,4,11,8,8,2,15,19,6,7,9,4,4,2
Players,201162,Jared Dudley,45,30,15,0.667,363.56666666666666,24,60,0.4,18,42,0.429,2,2,1.0,6,46,52,28,8,15,3,2,41,8,68,18,218.4,0,0,11,13,12,14,13,15,15,17,11,11,3,15,16,1,14,11,11,12,14,11,12,6,10,15,15,12,13,7,2
Players,203484,Kentavious Caldwell-Pope,69,51,18,0.739,1761.9616666666666,237,507,0.467,92,239,0.385,79,102,0.775,38,104,142,111,62,57,14,15,128,87,645,155,1132.9,0,0,1,2,20,11,3,4,4,7,3,4,4,5,5,8,7,9,7,5,7,5,8,13,16,6,4,8,7,7,2
Players,1628961,Kostas Antetokounmpo,5,3,2,0.6,20.105,3,3,1.0,0,0,0.0,1,2,0.5,2,1,3,2,1,0,0,0,2,2,7,7,12.6,0,0,18,15,3,15,18,18,19,1,18,18,18,18,16,17,15,19,19,18,18,18,17,1,3,18,18,14,19,7,2
Players,1628398,Kyle Kuzma,61,46,15,0.754,1526.185,291,668,0.436,86,272,0.316,114,155,0.735,52,221,273,80,91,28,26,22,126,108,782,181,1300.6,2,0,8,7,12,4,5,3,3,10,4,3,14,3,4,9,5,5,5,7,3,10,6,16,15,4,3,6,5,4,2
Players,2544,LeBron James,67,50,17,0.746,2316.266666666667,643,1303,0.493,148,425,0.348,264,381,0.693,66,459,525,684,261,78,36,59,118,339,1698,442,3435.0,46,13,5,5,16,9,1,1,1,6,1,1,9,2,2,11,4,1,2,1,1,3,4,20,14,2,1,1,1,1,1
Players,202693,Markieff Morris,14,8,6,0.571,199.29333333333332,28,69,0.406,13,39,0.333,5,6,0.833,16,29,45,8,6,5,6,2,29,9,74,-30,167.0,0,0,14,14,7,16,14,14,14,16,12,12,10,14,14,5,11,14,14,15,15,15,9,6,8,14,14,19,14,7,2
Players,1626188,Quinn Cook,44,31,13,0.705,507.95166666666665,91,214,0.425,31,85,0.365,11,14,0.786,11,40,51,49,33,12,2,12,27,16,224,56,367.7,0,0,12,11,10,13,11,11,11,11,10,10,6,12,13,7,13,12,12,9,11,12,14,11,7,11,11,10,11,7,2
Players,200765,Rajon Rondo,48,37,11,0.771,984.24,137,328,0.418,41,125,0.328,27,41,0.659,23,119,142,240,91,40,2,15,58,50,342,45,907.4,2,0,10,9,9,2,10,9,7,13,7,7,13,9,9,13,8,7,7,2,3,7,14,13,11,9,10,11,8,4,2
Players,1629659,Talen Horton-Tucker,6,2,4,0.333,81.15,14,30,0.467,4,13,0.308,2,4,0.5,2,5,7,6,6,8,1,1,10,3,34,-18,72.4,0,0,16,17,4,18,16,16,16,8,14,14,15,15,15,17,15,16,16,16,15,13,16,5,5,16,16,18,16,7,2
Players,203584,Troy Daniels,41,31,10,0.756,455.8183333333333,62,158,0.392,40,112,0.357,10,16,0.625,12,34,46,14,9,8,3,4,30,12,174,-2,274.2,0,0,13,11,8,3,12,12,12,18,8,9,8,13,11,15,12,13,13,14,13,13,12,9,9,12,12,16,12,7,2
Players,1629668,Zach Norvell Jr.,2,2,0,1.0,4.85,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,-4,1.2,0,0,19,17,1,1,20,20,20,20,18,18,18,19,19,19,19,19,20,20,19,18,17,1,1,19,20,17,20,7,2
