SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
2019-20,1610612747,LAL,Los Angeles Lakers,0041900406,2020-10-11T00:00:00,LAL @ MIA,W,48.0,43,89,0.483,11,35,0.314,9,14,0.643,12,34,46,23,14.0,5,4,4,22,18,106,13.0,1,1,1,1,1,7,4,12,12,12,17,20,20,18,5,8,7,15,6,19,13,16,9,18,15,5
2019-20,1610612747,LAL,Los Angeles Lakers,0041900405,2020-10-09T00:00:00,LAL vs. MIA,L,48.0,38,82,0.463,14,38,0.368,18,21,0.857,12,29,41,21,15.0,10,5,3,21,19,108,-3.0,1,17,17,17,1,14,14,15,5,5,8,11,13,5,5,16,14,20,9,5,10,9,7,16,14,17
2019-20,1610612747,LAL,Los Angeles Lakers,0041900404,2020-10-06T00:00:00,LAL @ MIA,W,48.0,35,79,0.443,14,39,0.359,18,21,0.857,10,32,42,25,15.0,5,4,3,14,21,102,6.0,1,1,1,1,1,18,16,18,5,3,11,11,13,5,12,11,13,11,9,19,13,9,1,12,19,14
2019-20,1610612747,LAL,Los Angeles Lakers,0041900403,2020-10-04T00:00:00,LAL @ MIA,L,48.0,34,79,0.43,14,42,0.333,22,29,0.759,11,32,43,23,20.0,8,2,3,22,23,104,-11.0,1,17,17,17,1,20,16,19,5,2,13,6,6,11,11,11,10,15,19,11,20,9,9,9,18,20
2019-20,1610612747,LAL,Los Angeles Lakers,0041900402,2020-10-02T00:00:00,LAL vs. MIA,W,48.0,49,97,0.505,16,47,0.34,10,17,0.588,16,28,44,32,9.0,6,3,1,26,23,124,10.0,1,1,1,1,1,1,1,9,3,1,12,19,18,21,2,19,8,2,1,15,17,1,15,9,4,7
2019-20,1610612747,LAL,Los Angeles Lakers,0041900401,2020-09-30T00:00:00,LAL vs. MIA,W,48.0,38,84,0.452,15,38,0.395,25,27,0.926,9,45,54,26,12.0,7,8,5,19,15,116,18.0,1,1,1,1,1,14,8,16,4,5,5,4,9,3,15,1,3,8,4,13,3,19,4,21,8,4
2019-20,1610612747,LAL,Los Angeles Lakers,0041900315,2020-09-26T00:00:00,LAL vs. DEN,W,48.0,42,77,0.545,9,24,0.375,24,29,0.828,5,38,43,24,14.0,6,8,2,26,25,117,10.0,1,1,1,1,1,11,20,4,18,21,7,5,6,8,20,5,10,14,6,15,3,4,15,7,6,7
2019-20,1610612747,LAL,Los Angeles Lakers,0041900314,2020-09-24T00:00:00,LAL @ DEN,W,48.0,38,80,0.475,10,30,0.333,28,35,0.8,12,29,41,23,11.0,9,2,3,25,28,114,6.0,1,1,1,1,1,14,15,14,15,14,13,1,3,10,5,16,14,15,3,7,20,9,14,1,10,14
2019-20,1610612747,LAL,Los Angeles Lakers,0041900313,2020-09-22T00:00:00,LAL @ DEN,L,48.0,43,83,0.518,6,26,0.231,14,22,0.636,4,21,25,27,16.0,11,3,2,26,21,106,-8.0,1,17,17,17,1,7,9,8,20,19,20,17,12,19,21,21,21,6,13,1,17,4,15,12,15,19
2019-20,1610612747,LAL,Los Angeles Lakers,0041900312,2020-09-20T00:00:00,LAL vs. DEN,W,48.0,37,83,0.446,13,36,0.361,18,19,0.947,13,31,44,23,24.0,9,7,4,30,22,105,2.0,1,1,1,1,1,17,9,17,10,10,10,11,15,1,4,14,8,15,21,7,6,16,21,11,17,16
2019-20,1610612747,LAL,Los Angeles Lakers,0041900311,2020-09-18T00:00:00,LAL vs. DEN,W,48.0,44,83,0.53,11,26,0.423,27,37,0.73,10,24,34,33,12.0,10,6,2,28,26,126,12.0,1,1,1,1,1,5,9,6,12,19,4,3,2,13,12,20,20,1,4,5,8,4,19,5,3,6
2019-20,1610612747,LAL,Los Angeles Lakers,0041900225,2020-09-12T00:00:00,LAL vs. HOU,W,48.0,39,74,0.527,19,37,0.514,22,29,0.759,6,44,50,25,20.0,5,7,3,24,26,119,23.0,1,1,1,1,1,12,21,7,1,9,1,6,6,11,19,2,5,11,19,19,6,9,13,5,5,1
2019-20,1610612747,LAL,Los Angeles Lakers,0041900224,2020-09-10T00:00:00,LAL @ HOU,W,48.0,43,88,0.489,9,30,0.3,15,16,0.938,12,40,52,30,18.0,9,4,6,27,21,110,10.0,1,1,1,1,1,7,5,11,18,14,18,16,19,2,5,4,4,3,16,7,13,20,18,12,13,7
2019-20,1610612747,LAL,Los Angeles Lakers,0041900223,2020-09-08T00:00:00,LAL @ HOU,W,48.0,43,78,0.551,10,30,0.333,16,23,0.696,9,34,43,25,15.0,6,6,1,15,18,112,10.0,1,1,1,1,1,7,18,3,15,14,13,14,11,14,15,8,10,11,9,15,8,1,2,18,11,7
2019-20,1610612747,LAL,Los Angeles Lakers,0041900222,2020-09-06T00:00:00,LAL vs. HOU,W,48.0,47,83,0.566,12,27,0.444,11,18,0.611,9,32,41,30,16.0,11,5,2,17,21,117,8.0,1,1,1,1,1,4,9,1,11,18,2,18,17,20,15,11,14,3,13,1,10,4,3,12,6,12
2019-20,1610612747,LAL,Los Angeles Lakers,0041900221,2020-09-04T00:00:00,LAL vs. HOU,L,48.0,35,83,0.422,11,38,0.289,16,19,0.842,10,31,41,18,17.0,8,9,3,20,19,97,-15.0,1,17,17,17,1,18,9,20,12,5,19,14,15,7,12,14,14,21,15,11,1,9,5,16,20,21
2019-20,1610612747,LAL,Los Angeles Lakers,0041900145,2020-08-29T00:00:00,LAL vs. POR,W,48.0,48,88,0.545,14,36,0.389,21,26,0.808,7,34,41,27,18.0,11,5,1,20,28,131,9.0,1,1,1,1,1,3,5,4,5,10,6,8,10,9,18,8,14,6,16,1,10,1,5,1,2,11
2019-20,1610612747,LAL,Los Angeles Lakers,0041900144,2020-08-24T00:00:00,LAL @ POR,W,48.0,49,87,0.563,17,39,0.436,20,30,0.667,12,29,41,29,15.0,7,9,2,28,27,135,20.0,1,1,1,1,1,1,7,2,2,3,3,9,5,15,5,16,14,5,9,13,1,4,19,4,1,3
2019-20,1610612747,LAL,Los Angeles Lakers,0041900143,2020-08-22T00:00:00,LAL @ POR,W,48.0,39,78,0.5,10,30,0.333,28,43,0.651,12,43,55,26,18.0,6,8,4,21,25,116,8.0,1,1,1,1,1,12,18,10,15,14,13,1,1,16,5,3,1,8,16,15,3,16,7,7,8,12
2019-20,1610612747,LAL,Los Angeles Lakers,0041900142,2020-08-20T00:00:00,LAL vs. POR,W,48.0,44,92,0.478,14,38,0.368,9,10,0.9,14,36,50,26,14.0,9,3,3,22,17,111,23.0,1,1,1,1,1,5,3,13,5,5,8,20,21,4,3,7,5,8,6,7,17,9,9,20,12,1
2019-20,1610612747,LAL,Los Angeles Lakers,0041900141,2020-08-18T00:00:00,LAL vs. POR,L,48.0,34,97,0.351,5,32,0.156,20,31,0.645,17,38,55,22,10.0,11,4,8,23,28,93,-7.0,1,17,17,17,1,20,1,21,21,13,21,9,4,17,1,5,1,19,2,1,13,21,12,1,21,18
